id,name,brand,imageUrl,modelYear,price,bikeType,range,weight,motor,topSpeed,warranty,rating,battery,productUrl
1,RadWagon 4,Rad,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/radwagon-4.webp,2020,1599,Cargo,25-45,77,750,20,2 years,5,672 Wh,https://www.radpowerbikes.com/collections/electric-bikes/products/radwagon-4-electric-cargo-bike?variant=32250242564192
2,RadCity 5 Plus,Rad,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/radcity-5-plus.webp,2022,1499,Commuter,30-55,65,750,20,2 years,5,672 Wh,https://www.radpowerbikes.com/collections/electric-bikes/products/radcity-plus-electric-commuter-bike?variant=39467024875616#specs-&-details
3,RadRover 6 Plus,Rad,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/radrover-6-plus.webp,2022,999,Fat Tire,25-45,74,750,20,2 years,4,672 Wh,https://www.radpowerbikes.com/collections/electric-bikes/products/radrover-plus-electric-fat-tire-bike?variant=39465952706656
4,RadRunner 2,Rad,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/radrunner-2.webp,2022,1399,Cargo,25-45,65,750,20,2 years,3,672 Wh,https://www.radpowerbikes.com/products/radrunner-electric-utility-bike?srsltid=AfmBOorbnof6_l77ZvrPRhHWVkLNXLySyGmH1U2BKBX-pwzBrE1OCamb
5,RadWagon 5,Rad,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/radwagon-5.webp,,2399,Cargo,20-60,65,750,20,2 years,2,672 Wh,https://www.radpowerbikes.com/collections/electric-bikes/products/radwagon-electric-cargo-bike?variant=40266313039968
6,RadExpand 5,Rad,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/radexpand-5.webp,,1599,Folding,25-45,,,,2 years,4,672 Wh,https://www.radpowerbikes.com/collections/electric-bikes/products/radexpand-electric-folding-bike?variant=39442977783904#specs-&-details
7,RadExpand 5 Plus,Rad,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/radexpand-plus-5.webp,,2099,Folding,20-60,,,,2 years,5,,https://www.radpowerbikes.com/collections/electric-bikes/products/radexpand-plus-electric-folding-bike?variant=40266316972128
8,RadKick Belt Drive,Rad,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/radkick-belt-drive.webp,,1399,lightweight,15-35,55,500,,2 years,4,,https://www.radpowerbikes.com/collections/electric-bikes/products/radkick-belt-drive-electric-lightweight-bike?variant=41119349768288
9,RadKick 7 Speed,Rad,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/radkick-7-speed.webp,,1199,lightweight,15-35,,500,,2 years,3,360 Wh,https://www.radpowerbikes.com/collections/electric-bikes/products/radkick-7-speed-electric-lightweight-bike?variant=41119349571680
10,Soltera 2,Aventon,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/aventon-soltera-2.webp,,1199,City,46,46,350,20,2 years,3,36 V,https://www.aventon.com/products/soltera-2-ebike?variant=43339633950915
11,Comfort Cruiser,Pedego,https://cdn.jsdelivr.net/gh/dbrait/bike-images@main/pedego-comfort-cruiser.jpg,,1995,Cruiser,,51,350,20,5 years,4,36 V,https://pedegoelectricbikes.com/product/comfort-cruiser/?frame-style=24-step-thru&color=red&battery=36V+10.5Ah
